1, Property 101, 123 Main St, 1200, Available, Residential, 3, Yes, No
2, Property 102, 456 Oak St, 1500, Rented, Residential, 4, No, Yes
3, Property 103, 789 Pine St, 1000, Under Maintenance, Residential, 2, Yes, Yes
4, Property 104, 321 Maple Ave, 1800, Available, Residential, 5, No, No
5, Property 105, 654 Elm St, 1300, Rented, Residential, 3, Yes, No
6, Property 106, 987 Cedar St, 1100, Available, Residential, 2, No, Yes
7, Property 107, 432 Birch St, 1600, Rented, Residential, 4, Yes, No
8, Property 108, 765 Walnut St, 1400, Under Maintenance, Residential, 3, No, Yes
9, Property 109, 321 Spruce St, 2000, Available, Residential, 5, Yes, Yes
10, Property 110, 543 Willow St, 1250, Rented, Residential, 3, No, No
11, Property 111, 876 Ash St, 1700, Available, Commercial, Retail, 10, 2500
12, Property 112, 987 Poplar St, 2500, Rented, Commercial, Office, 20, 5000
13, Property 113, 678 Cypress St, 3000, Available, Commercial, Industrial, 30, 7500
14, Property 114, 345 Redwood St, 3500, Under Maintenance, Commercial, Warehouse, 15, 6000
15, Property 115, 123 Palm St, 2800, Available, Commercial, Retail, 8, 3000
